education,balance,day,month,duration,campaign,pdays,previous,age_filled,contact_cellular,contact_telephone,contact_nan,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,poutcome_failure,poutcome_none,poutcome_other,poutcome_success,marital_married,marital_single,default_yes,housing_yes,loan_yes,subscribed_yes,has_loan
1.5,0.6732757889284575,0.0,0.2727272727272727,3.1381936887921653,0.06369203691172227,-0.2918454935622318,-0.16573624574971937,32.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
1.0,0.7732576607530368,0.0,0.2727272727272727,-0.013057671381936888,0.06369203691172227,-0.2804005722460658,-0.4594273668912524,39.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
1.0,0.8790037494598179,0.0,0.2727272727272727,-0.47878128400435255,0.06369203691172227,0.3261802575107296,-0.4594273668912524,59.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
1.0,0.6754049574677612,0.0,0.2727272727272727,0.16539717083786726,-0.6605774113987196,0.32045779685264664,-0.16573624574971937,47.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
1.0,0.869998611630958,0.0,0.2727272727272727,1.057671381936888,-0.6605774113987196,0.7153075822603719,-0.4594273668912524,54.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.5,0.8469751795410101,0.0,0.2727272727272727,0.9880304678998912,-0.6605774113987196,-0.2804005722460658,0.12795487539181366,46.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1.0,1.1077991663534914,0.0,0.2727272727272727,-0.3264417845484222,0.06369203691172227,0.4062947067238913,-0.4594273668912524,34.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
1.0,0.6746957382086181,0.0,0.2727272727272727,0.06528835690968444,1.512230933532606,0.8412017167381974,0.4216459965333467,45.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
1.5,0.6455412791788088,0.0,0.2727272727272727,-0.500544069640914,0.06369203691172227,-0.26895565092989987,-0.16573624574971937,58.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1.5,2.780307527761329,0.0,0.2727272727272727,0.2132752992383025,0.7879614852221641,-0.2861230329041488,-0.16573624574971937,49.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.7818990902340417,0.03333333333333333,0.2727272727272727,3.1120783460282917,-0.6605774113987196,-0.2861230329041488,0.12795487539181366,38.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1.0,0.5957462741354991,0.03333333333333333,0.2727272727272727,0.2916213275299238,-0.6605774113987196,0.8526466380543634,-0.16573624574971937,49.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.0,1.5893528214285,0.03333333333333333,0.2727272727272727,0.36561479869423286,-0.6605774113987196,-0.27467811158798283,-0.16573624574971937,36.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1.0,0.7136571539173339,0.03333333333333333,0.2727272727272727,1.5756256800870512,0.06369203691172227,-0.26895565092989987,0.7153371176748797,39.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1.0,0.523320112850374,0.03333333333333333,0.2727272727272727,-0.39173014145810664,-0.6605774113987196,0.4864091559370529,-0.4594273668912524,48.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.0,0.523320112850374,0.03333333333333333,0.2727272727272727,1.0489662676822633,0.06369203691172227,0.4864091559370529,-0.4594273668912524,38.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.0,0.5108614928771701,0.03333333333333333,0.2727272727272727,-0.3133841131664853,-0.6605774113987196,0.6752503576537912,-0.16573624574971937,46.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
1.5,0.7312429828524586,0.03333333333333333,0.2727272727272727,-0.7747551686615887,-0.6605774113987196,-0.2632331902718169,-0.4594273668912524,35.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.0,0.5237327387974025,0.03333333333333333,0.2727272727272727,0.42219804134929273,-0.6605774113987196,-0.6752503576537912,-0.16573624574971937,58.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1.5,1.550961794962852,0.03333333333333333,0.2727272727272727,3.647442872687704,0.7879614852221641,0.20028612303290416,1.5964104810994788,35.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1.5,0.6151348121165358,0.03333333333333333,0.2727272727272727,-0.6920565832426551,0.06369203691172227,-0.2804005722460658,0.4216459965333467,32.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.5,0.523320112850374,0.03333333333333333,0.2727272727272727,0.24809575625680086,0.06369203691172227,0.7553648068669528,-0.16573624574971937,30.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0.5,0.9817001517469675,0.03333333333333333,0.2727272727272727,0.9923830250272034,-0.6605774113987196,0.6008583690987125,-0.4594273668912524,53.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0.5,0.7892018633598582,0.03333333333333333,0.2727272727272727,0.7094668117519043,0.06369203691172227,0.43490701001430615,0.12795487539181366,40.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
